510020 超大ETF 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/03/19	2.430	2.660	2.410	2.460	643031728	156310304.00
2010/03/22	2.470	2.470	2.440	2.460	195073451	47911964.00
2010/03/23	2.460	2.460	2.420	2.430	244062324	59699836.00
2010/03/24	2.430	2.450	2.420	2.430	304715812	74022528.00
2010/03/25	2.420	2.430	2.380	2.390	136084339	32630446.00
2010/03/26	2.390	2.430	2.380	2.420	266985580	64296288.00
2010/03/29	2.430	2.500	2.420	2.480	308429826	76135696.00
2010/03/30	2.490	2.490	2.460	2.470	181827557	45056480.00
2010/03/31	2.480	2.480	2.450	2.460	60841846	15000695.00
2010/04/01	2.460	2.490	2.460	2.480	101309475	25097738.00
2010/04/02	2.490	2.500	2.480	2.500	99268236	24674672.00
2010/04/06	2.500	2.520	2.480	2.490	307922961	76669376.00
2010/04/07	2.490	2.500	2.460	2.480	104468593	25862286.00
2010/04/08	2.480	2.480	2.430	2.430	234278152	57238156.00
2010/04/09	2.450	2.460	2.440	2.460	56708968	13907286.00
2010/04/12	2.460	2.470	2.420	2.430	71317935	17398530.00
2010/04/13	2.430	2.480	2.430	2.480	102957853	25347526.00
2010/04/14	2.480	2.490	2.470	2.480	49993616	12388616.00
2010/04/15	2.480	2.500	2.470	2.480	106905357	26513946.00
2010/04/16	2.480	2.490	2.450	2.450	139716615	34409040.00
2010/04/19	2.430	2.440	2.320	2.330	235828066	56325172.00
2010/04/20	2.330	2.350	2.290	2.310	164801856	38056156.00
2010/04/21	2.310	2.340	2.290	2.340	79945322	18521838.00
2010/04/22	2.330	2.340	2.290	2.300	203315915	46751748.00
2010/04/23	2.290	2.300	2.270	2.270	131741531	30156814.00
2010/04/26	2.270	2.290	2.260	2.260	69597923	15849649.00
2010/04/27	2.260	2.270	2.190	2.220	150874506	33497524.00
2010/04/28	2.210	2.220	2.190	2.220	65588011	14465491.00
2010/04/29	2.230	2.240	2.200	2.200	80833403	17982068.00
2010/04/30	2.200	2.240	2.190	2.240	151884795	33576736.00
2010/05/04	2.220	2.220	2.190	2.200	125558618	27718298.00
2010/05/05	2.190	2.210	2.140	2.210	71381364	15529602.00
2010/05/06	2.200	2.200	2.100	2.100	236437781	50971420.00
2010/05/07	2.080	2.100	2.050	2.060	74037498	15326072.00
2010/05/10	2.070	2.090	2.040	2.080	64799680	13422584.00
2010/05/11	2.120	2.130	2.050	2.060	65672533	13791045.00
2010/05/12	2.060	2.090	2.030	2.080	81611983	16886014.00
2010/05/13	2.080	2.130	2.080	2.110	66823334	14072783.00
2010/05/14	2.100	2.120	2.090	2.090	49482591	10401398.00
2010/05/17	2.080	2.080	1.980	1.990	93516113	18970804.00
2010/05/18	1.990	2.030	1.970	2.030	62492032	12500812.00
