510220 中小ETF 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/03/28	3.664	3.681	3.646	3.650	54175714	200785488.00
2011/03/29	3.646	3.659	3.589	3.596	6894389	25377534.00
2011/03/30	3.591	3.602	3.556	3.575	4872308	17658626.00
2011/03/31	3.571	3.591	3.512	3.532	874631	3133418.50
2011/04/01	3.543	3.575	3.526	3.575	553297	1982485.13
2011/04/06	3.567	3.580	3.537	3.571	185742	667975.25
2011/04/07	3.545	3.604	3.545	3.603	2537270	9184458.00
2011/04/08	3.602	3.633	3.587	3.631	847866	3102410.00
2011/04/11	3.621	3.660	3.608	3.608	909576	3342487.50
2011/04/12	3.609	3.636	3.601	3.617	282540	1035020.06
2011/04/13	3.591	3.674	3.591	3.653	970393	3572488.25
2011/04/14	3.656	3.661	3.616	3.651	861209	3167740.50
2011/04/15	3.626	3.650	3.599	3.635	180866	662654.00
2011/04/18	3.631	3.649	3.613	3.643	584616	2147739.25
2011/04/19	3.621	3.621	3.588	3.596	128281	466519.59
2011/04/20	3.581	3.620	3.581	3.611	154471	562830.38
2011/04/21	3.611	3.661	3.611	3.631	390956	1436020.00
2011/04/22	3.631	3.631	3.603	3.611	174043	637103.81
2011/04/25	3.613	3.613	3.557	3.571	94629	341184.44
2011/04/26	3.551	3.569	3.502	3.511	82400	293260.56
2011/04/27	3.517	3.551	3.458	3.465	152813	538123.50
2011/04/28	3.465	3.521	3.351	3.363	296699	1034928.50
2011/04/29	3.351	3.416	3.351	3.408	61608	211375.61
2011/05/03	3.408	3.489	3.407	3.488	114531	400273.28
2011/05/04	3.484	3.484	3.387	3.401	165952	572899.50
2011/05/05	3.367	3.411	3.366	3.411	79748	272924.44
2011/05/06	3.401	3.441	3.381	3.436	136559	468869.13
2011/05/09	3.421	3.456	3.421	3.446	111700	389363.50
2011/05/10	3.426	3.451	3.426	3.451	68676	238642.45
2011/05/11	3.441	3.466	3.425	3.466	74395	259021.61
2011/05/12	3.415	3.449	3.411	3.411	58600	203207.39
