511900 富国货币 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/12/09	100.000	100.000	99.987	99.990	25509135	2550700544.00
2015/12/10	99.987	99.991	99.983	99.986	11201572	1120011264.00
2015/12/11	99.990	100.001	99.989	100.000	15119119	1511870848.00
2015/12/14	99.989	99.998	99.986	99.997	11626404	1162594432.00
2015/12/15	99.999	100.000	99.996	100.000	14664283	1466392064.00
2015/12/16	99.999	100.000	99.995	99.998	15876350	1587604480.00
2015/12/17	99.999	100.000	99.997	99.999	15146482	1514624512.00
2015/12/18	99.999	100.002	99.999	100.001	12978415	1297839744.00
2015/12/21	99.997	99.998	99.997	99.997	12108624	1210829056.00
2015/12/22	99.990	99.997	99.988	99.996	12013126	1201214336.00
2015/12/23	99.990	99.993	99.986	99.992	12120520	1211932160.00
2015/12/24	99.992	99.996	99.992	99.995	10357707	1035715136.00
2015/12/25	100.000	100.001	99.998	99.998	9347881	934779456.00
2015/12/28	99.999	99.999	99.992	99.996	10509966	1050936832.00
2015/12/29	99.996	99.998	99.989	99.996	15340927	1533997696.00
2015/12/30	99.996	99.999	99.992	99.995	10935630	1093508480.00
2015/12/31	100.000	100.009	99.998	100.007	11145083	1114548736.00
2016/01/04	99.993	99.994	99.979	99.979	11186317	1118440832.00
2016/01/05	99.980	99.980	99.965	99.977	15130930	1512657920.00
2016/01/06	99.979	99.998	99.979	99.995	14882809	1488178432.00
2016/01/07	99.995	100.002	99.995	99.999	13463523	1346342272.00
2016/01/08	99.998	100.006	99.996	100.004	16954786	1695474432.00
2016/01/11	99.995	100.000	99.995	99.997	13770413	1377007104.00
2016/01/12	99.995	99.998	99.993	99.997	17371340	1737062272.00
2016/01/13	99.997	99.997	99.993	99.995	17436833	1743584640.00
2016/01/14	99.994	99.995	99.992	99.995	13697176	1369627520.00
2016/01/15	99.995	100.003	99.995	100.000	21643201	2164329728.00
2016/01/18	99.993	99.996	99.992	99.992	16309644	1630865152.00
2016/01/19	99.992	99.994	99.986	99.990	10780071	1077906176.00
2016/01/20	99.989	99.991	99.986	99.988	14741408	1473954304.00
2016/01/21	99.990	99.990	99.982	99.988	15060359	1505824768.00
2016/01/22	99.988	99.996	99.970	99.994	15098291	1509710336.00
2016/01/25	99.990	99.995	99.984	99.992	13022720	1302152704.00
2016/01/26	99.992	99.994	99.991	99.993	16276787	1627554944.00
2016/01/27	99.990	99.995	99.990	99.995	18212017	1821071360.00
2016/01/28	99.992	99.999	99.990	99.994	16492746	1649155200.00
2016/01/29	99.997	100.006	99.997	100.004	21030587	2103105152.00
2016/02/01	99.999	99.999	99.991	99.994	20979305	2097798016.00
2016/02/02	99.993	99.997	99.991	99.992	18934811	1893366528.00
2016/02/03	99.992	99.997	99.989	99.993	24535487	2453375488.00
2016/02/04	99.992	100.018	99.990	100.011	18494340	1849415424.00
2016/02/05	100.077	100.077	100.015	100.044	15324489	1533115776.00
2016/02/15	99.990	99.997	99.985	99.995	20428812	2042735232.00
2016/02/16	99.991	99.997	99.991	99.995	14868446	1486768640.00
2016/02/17	99.994	99.995	99.990	99.993	16104755	1610344576.00
2016/02/18	99.991	99.996	99.972	99.992	13982703	1398159616.00
2016/02/19	99.994	100.003	99.992	100.003	17373238	1737304960.00
2016/02/22	99.998	99.998	99.991	99.995	19193352	1919240704.00
2016/02/23	99.991	99.997	99.991	99.997	18653935	1865292032.00
2016/02/24	99.995	99.995	99.992	99.993	14939403	1493839616.00
2016/02/25	99.991	99.994	99.983	99.985	22882985	2288066304.00
2016/02/26	99.983	99.996	99.983	99.994	10549383	1054874368.00
2016/02/29	99.990	99.994	99.988	99.993	14055735	1405440512.00
2016/03/01	99.990	99.993	99.987	99.993	22905357	2290340864.00
2016/03/02	99.993	99.997	99.990	99.996	12630917	1262996480.00
2016/03/03	99.993	99.996	99.982	99.995	15386903	1538584064.00
2016/03/04	99.996	100.006	99.994	100.005	15467003	1546721792.00
2016/03/07	99.993	99.996	99.993	99.996	27178748	2717734912.00
2016/03/08	99.993	100.000	99.993	99.999	22261691	2226076160.00
2016/03/09	99.994	99.997	99.994	99.996	40168406	4016642560.00
2016/03/10	99.996	99.997	99.994	99.997	35373857	3537213696.00
2016/03/11	99.999	100.008	99.998	100.007	22506196	2250694912.00
2016/03/14	99.995	100.002	99.995	100.001	30500997	3050021120.00
2016/03/15	99.995	99.997	99.990	99.996	21927607	2192655872.00
2016/03/16	99.993	99.996	99.993	99.993	23700195	2369889536.00
2016/03/17	99.993	99.995	99.986	99.987	27766589	2776456960.00
2016/03/18	99.993	99.995	99.988	99.989	22447405	2244552960.00
2016/03/21	99.988	99.989	99.911	99.979	13896562	1389346304.00
2016/03/22	99.979	99.986	99.978	99.985	20970856	2096729216.00
2016/03/23	99.988	99.994	99.987	99.994	25825313	2582313728.00
2016/03/24	99.993	99.995	99.992	99.994	18318266	1831705984.00
2016/03/25	99.999	100.001	99.996	100.000	37022223	3702150144.00
2016/03/28	99.991	99.995	99.991	99.991	21853137	2185176064.00
2016/03/29	99.993	99.994	99.985	99.987	22461746	2245894400.00
2016/03/30	99.988	99.990	99.974	99.975	19687736	1968450176.00
2016/03/31	99.984	99.998	99.970	99.997	17680904	1767755392.00
2016/04/01	99.997	100.008	99.997	100.007	25947641	2594895616.00
2016/04/05	99.990	99.994	99.981	99.993	28623536	2862142208.00
2016/04/06	99.991	99.997	99.991	99.994	21802297	2180109824.00
2016/04/07	99.993	99.996	99.992	99.995	26273695	2627195648.00
2016/04/08	99.994	100.009	99.994	100.008	26730581	2673106176.00
2016/04/11	99.990	99.995	99.990	99.993	19012219	1901091200.00
2016/04/12	99.993	99.995	99.991	99.994	27723664	2772173824.00
2016/04/13	99.993	99.994	99.990	99.991	24447782	2444588288.00
2016/04/14	99.990	99.991	99.983	99.983	18999314	1899725824.00
2016/04/15	99.990	100.000	99.990	99.999	23261165	2326045952.00
2016/04/18	99.991	99.999	99.991	99.995	23125966	2312450304.00
2016/04/19	99.993	99.997	99.992	99.996	24171030	2416954880.00
2016/04/20	99.995	99.996	99.992	99.995	22831398	2283004672.00
2016/04/21	99.992	99.995	99.992	99.995	23639617	2363802368.00
