512510 ETF500 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/06/12	2.156	2.270	2.156	2.246	139229511	312522144.00
2015/06/15	2.236	2.261	2.196	2.225	49944455	113389640.00
2015/06/16	2.204	2.204	2.076	2.130	15306689	33424268.00
2015/06/17	2.078	2.183	2.064	2.166	37536925	81814280.00
2015/06/18	2.151	2.193	2.085	2.112	8221847	18043940.00
2015/06/19	2.091	2.091	1.950	1.952	11772577	24091854.00
2015/06/23	1.952	2.011	1.834	1.965	4963816	9666035.00
2015/06/24	1.961	2.011	1.947	2.006	7049799	14222892.00
2015/06/25	2.010	2.025	1.908	1.953	4377688	8854287.00
2015/06/26	1.951	1.951	1.755	1.776	5350982	9894879.00
2015/06/29	1.791	1.896	1.596	1.608	7120302	12205428.00
2015/06/30	1.526	1.746	1.526	1.746	7098753	11631590.00
2015/07/01	1.746	1.776	1.601	1.648	6554064	11512246.00
2015/07/02	1.630	1.656	1.514	1.527	5638721	8982770.00
2015/07/03	1.486	1.556	1.405	1.427	8149323	12156723.00
2015/07/06	1.572	1.572	1.386	1.505	38964440	59341728.00
2015/07/07	1.505	1.506	1.352	1.352	19807473	28251758.00
2015/07/08	1.214	1.214	1.214	1.214	1601500	1982657.00
2015/07/09	1.090	1.338	1.090	1.338	25435151	31507304.00
2015/07/10	1.376	1.474	1.347	1.474	24770402	36309868.00
2015/07/13	1.476	1.624	1.356	1.624	30599933	48605128.00
2015/07/14	1.566	1.610	1.519	1.532	29481920	46584548.00
2015/07/15	1.466	1.506	1.376	1.376	16946074	24623656.00
2015/07/16	1.311	1.495	1.256	1.424	13276830	18823194.00
2015/07/17	1.430	1.517	1.428	1.501	12671133	19013694.00
2015/07/20	1.506	1.559	1.481	1.547	14956213	23239304.00
2015/07/21	1.496	1.604	1.496	1.595	13672700	21686222.00
2015/07/22	1.598	1.625	1.567	1.620	11523659	18685830.00
2015/07/23	1.601	1.683	1.596	1.676	10704921	17981042.00
2015/07/24	1.676	1.695	1.642	1.662	6999087	11879314.00
2015/07/27	1.636	1.653	1.493	1.495	9481493	15373981.00
2015/07/28	1.414	1.556	1.412	1.499	5441606	8095420.50
2015/07/29	1.493	1.576	1.457	1.566	4788342	7330374.50
