513100 纳指ETF 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/05/15	0.990	0.999	0.989	0.997	87711620	87379280.00
2013/05/16	0.997	0.999	0.994	0.999	26557020	26501420.00
2013/05/17	0.999	1.000	0.996	0.997	3637900	3630062.00
2013/05/20	1.002	1.004	0.996	0.997	8049017	8033038.50
2013/05/21	0.997	0.998	0.994	0.997	16112391	16023195.00
2013/05/22	0.998	1.001	0.998	0.999	4625700	4622030.50
2013/05/23	0.996	0.996	0.989	0.991	2181700	2160730.75
2013/05/24	0.992	0.995	0.991	0.994	1660400	1647992.25
2013/05/27	0.995	0.995	0.991	0.995	649278	645096.63
2013/05/28	0.996	0.996	0.991	0.992	5412478	5375504.00
2013/05/29	0.994	0.997	0.991	0.996	2663900	2647352.00
2013/05/30	0.992	0.993	0.991	0.992	670100	664510.69
2013/05/31	0.992	0.998	0.992	0.998	1030800	1026402.31
2013/06/03	0.995	0.995	0.989	0.990	949200	939507.38
2013/06/04	0.992	0.994	0.991	0.993	2761578	2740707.50
2013/06/05	0.993	0.993	0.987	0.989	450300	445240.09
2013/06/06	0.985	0.985	0.970	0.973	5063500	4922812.00
2013/06/07	0.978	0.980	0.971	0.973	2635221	2566606.25
2013/06/13	0.962	0.972	0.962	0.966	1523020	1472109.38
2013/06/14	0.977	0.979	0.975	0.979	2961777	2892362.75
2013/06/17	0.975	0.976	0.973	0.976	386300	376773.19
2013/06/18	0.981	0.985	0.981	0.984	656879	646250.75
2013/06/19	0.994	0.999	0.992	0.998	2900377	2887213.00
2013/06/20	0.985	0.985	0.930	0.981	3392600	3299453.75
2013/06/21	0.950	0.960	0.947	0.960	4006094	3821737.25
2013/06/24	0.960	0.960	0.951	0.952	842399	801932.94
2013/06/25	0.952	0.952	0.942	0.947	1199399	1133143.75
2013/06/26	0.950	0.960	0.941	0.946	2178801	2062151.88
2013/06/27	0.960	0.960	0.954	0.957	1352250	1293459.38
2013/06/28	0.961	0.965	0.961	0.963	1763882	1699744.75
2013/07/01	0.963	0.965	0.960	0.965	594066	572262.88
2013/07/02	0.974	0.974	0.968	0.972	1776971	1725760.13
2013/07/03	0.972	0.973	0.970	0.973	945361	918040.63
2013/07/04	0.973	0.978	0.973	0.978	793703	774942.00
2013/07/05	0.986	0.989	0.976	0.989	1669870	1642111.38
2013/07/08	0.995	1.000	0.987	0.998	3221840	3204852.25
2013/07/09	0.997	1.000	0.995	0.996	1549795	1546459.63
2013/07/10	1.002	1.009	0.993	0.999	3700743	3698860.75
2013/07/11	1.000	1.005	0.998	1.004	3467044	3469293.25
2013/07/12	1.011	1.020	1.011	1.019	5664450	5767604.00
2013/07/15	1.026	1.028	1.020	1.023	3069473	3138794.75
2013/07/16	1.023	1.023	1.018	1.019	1709902	1743022.63
2013/07/17	1.016	1.021	1.015	1.019	966134	984804.63
2013/07/18	1.020	1.022	1.019	1.020	1350851	1378243.63
2013/07/19	1.020	1.022	1.018	1.019	1928015	1966168.75
