513500 标普500 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/01/15	0.994	0.996	0.976	0.986	132855399	130998296.00
2014/01/16	0.988	0.994	0.988	0.991	39733030	39379676.00
2014/01/17	0.993	0.993	0.985	0.987	16978101	16786118.00
2014/01/20	0.983	0.988	0.982	0.982	13937400	13745061.00
2014/01/21	0.982	0.996	0.970	0.984	21852987	21520868.00
2014/01/22	0.984	0.988	0.973	0.979	25899100	25372840.00
2014/01/23	0.985	0.990	0.977	0.988	11534698	11384440.00
2014/01/24	0.983	0.994	0.980	0.990	13414699	13247096.00
2014/01/27	0.979	0.979	0.969	0.970	2805200	2722490.75
2014/01/28	0.970	0.970	0.959	0.964	4344400	4183701.50
2014/01/29	0.970	0.979	0.970	0.977	4118200	4011233.50
2014/01/30	0.965	0.967	0.961	0.967	2271200	2189829.75
2014/02/07	0.963	0.973	0.962	0.973	2987599	2895016.75
2014/02/10	0.973	0.980	0.970	0.970	7914718	7710451.50
2014/02/11	0.966	0.980	0.966	0.975	21425598	20870112.00
2014/02/12	0.978	0.989	0.975	0.987	10393213	10224769.00
2014/02/13	0.980	0.991	0.980	0.987	5996300	5930564.00
2014/02/14	0.995	1.000	0.994	0.997	9391799	9351591.00
2014/02/17	1.000	1.003	0.999	1.001	9313000	9321102.00
2014/02/18	1.000	1.002	0.999	1.000	6832299	6833306.00
2014/02/19	1.000	1.004	1.000	1.004	11984400	12005533.00
2014/02/20	1.000	1.002	0.995	1.000	3244900	3240349.75
2014/02/21	1.001	1.006	1.001	1.003	7474895	7510051.00
2014/02/24	1.004	1.005	1.002	1.005	3732500	3745747.00
2014/02/25	1.009	1.013	1.009	1.013	12484900	12615654.00
2014/02/26	1.009	1.016	1.009	1.016	7221999	7318937.00
2014/02/27	1.016	1.016	1.011	1.015	2703699	2738662.50
2014/02/28	1.019	1.026	1.016	1.024	4334399	4422678.50
2014/03/03	1.025	1.030	1.020	1.026	3097598	3176650.75
2014/03/04	1.022	1.023	1.016	1.022	4751400	4842955.50
2014/03/05	1.039	1.039	1.027	1.031	4328771	4457560.00
2014/03/06	1.030	1.034	1.028	1.033	3554999	3662873.75
2014/03/07	1.040	1.040	1.030	1.034	3648970	3770352.75
2014/03/10	1.034	1.035	1.030	1.031	3567800	3682824.50
2014/03/11	1.030	1.039	1.030	1.039	4435940	4586106.00
2014/03/12	1.032	1.035	1.028	1.029	4317300	4449449.50
2014/03/13	1.031	1.035	1.027	1.034	6332300	6522613.00
2014/03/14	1.024	1.024	1.018	1.018	3763197	3843551.50
2014/03/17	1.018	1.023	1.018	1.022	2710200	2764225.00
2014/03/18	1.029	1.034	1.027	1.033	2547799	2626432.00
2014/03/19	1.034	1.039	1.000	1.037	1926700	1993998.75
2014/03/20	1.035	1.035	1.020	1.030	3201700	3297040.00
2014/03/21	1.036	1.037	1.033	1.033	3579500	3707209.50
2014/03/24	1.031	1.034	1.031	1.033	1595650	1646602.50
2014/03/25	1.032	1.032	1.026	1.031	1788800	1842745.75
