513600 恒指ETF 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/01/26	1.930	1.936	1.900	1.922	36373825	70083168.00
2015/01/27	1.926	1.952	1.911	1.921	12356352	23779876.00
2015/01/28	1.920	1.940	1.920	1.929	15281903	29492814.00
2015/01/29	1.920	1.930	1.907	1.914	5205221	9975523.00
2015/01/30	1.920	1.931	1.908	1.908	4796484	9189951.00
2015/02/02	1.904	1.914	1.903	1.907	5088655	9720683.00
2015/02/03	1.920	1.920	1.903	1.918	2423951	4642398.00
2015/02/04	1.927	1.938	1.921	1.923	8028199	15496429.00
2015/02/05	1.925	1.957	1.924	1.924	6892247	13374725.00
2015/02/06	1.928	1.935	1.922	1.925	7541887	14552387.00
2015/02/09	1.920	1.922	1.911	1.916	1237763	2371102.50
2015/02/10	1.916	1.928	1.915	1.926	5667063	10882920.00
2015/02/11	1.921	1.927	1.906	1.909	2976381	5689220.50
2015/02/12	1.910	1.919	1.906	1.915	9130010	17467202.00
2015/02/13	1.931	1.936	1.928	1.928	7121102	13766625.00
2015/02/16	1.928	1.946	1.928	1.942	19159822	37247832.00
2015/02/17	1.939	1.946	1.939	1.941	1257620	2446174.25
2015/02/25	1.949	1.956	1.943	1.944	1034601	2016680.50
2015/02/26	1.941	1.957	1.940	1.957	5443477	10636301.00
2015/02/27	1.957	1.969	1.954	1.962	3875268	7605408.50
2015/03/02	1.964	1.973	1.953	1.969	6901598	13576158.00
2015/03/03	1.972	1.976	1.967	1.968	9203517	18139892.00
2015/03/04	1.951	1.961	1.949	1.955	2924123	5719900.50
2015/03/05	1.935	1.940	1.926	1.930	1337389	2590813.50
2015/03/06	1.930	1.935	1.921	1.929	2268956	4374176.00
2015/03/09	1.929	1.929	1.904	1.924	2511554	4800596.00
2015/03/10	1.916	1.917	1.906	1.910	2100769	4014910.25
2015/03/11	1.905	1.908	1.892	1.892	2126875	4045595.00
2015/03/12	1.892	1.905	1.888	1.899	5930663	11249834.00
2015/03/13	1.900	1.909	1.900	1.906	3928921	7484373.50
2015/03/16	1.900	1.915	1.897	1.914	1875442	3574261.50
2015/03/17	1.921	1.925	1.910	1.912	2475777	4750137.50
2015/03/18	1.912	1.935	1.910	1.935	2900341	5584082.00
2015/03/19	1.935	1.950	1.933	1.944	1341696	2606721.25
2015/03/20	1.944	1.952	1.939	1.941	840473	1634160.25
2015/03/23	1.944	1.952	1.942	1.944	5085033	9911602.00
2015/03/24	1.935	1.941	1.930	1.933	5310581	10280878.00
2015/03/25	1.932	1.949	1.931	1.944	6818282	13220817.00
2015/03/26	1.935	1.951	1.935	1.948	3940670	7672694.00
2015/03/27	1.945	1.948	1.940	1.942	1415547	2752266.00
2015/03/30	1.955	2.000	1.955	1.982	5723968	11322849.00
2015/03/31	1.988	2.000	1.988	1.993	12035603	23969078.00
2015/04/01	1.972	1.995	1.972	1.995	4177562	8300528.00
2015/04/02	2.000	2.016	2.000	2.016	5084469	10214397.00
2015/04/03	2.020	2.215	2.007	2.206	3941931	8153658.00
2015/04/07	2.206	2.427	2.206	2.427	3672713	8610066.00
2015/04/08	2.650	2.670	2.450	2.670	12709618	33492502.00
2015/04/09	2.403	2.403	2.403	2.403	23462300	56379908.00
2015/04/10	2.266	2.354	2.225	2.262	102219338	232992704.00
2015/04/13	2.240	2.240	2.171	2.194	86635111	189599520.00
2015/04/14	2.197	2.204	2.160	2.161	38486375	84087920.00
2015/04/15	2.165	2.181	2.150	2.163	32731745	70965352.00
2015/04/16	2.169	2.170	2.154	2.162	18565875	40126388.00
2015/04/17	2.171	2.188	2.171	2.175	19492038	42452808.00
2015/04/20	2.166	2.166	2.097	2.099	27744648	59190460.00
2015/04/21	2.116	2.162	2.116	2.162	19746499	42386624.00
2015/04/22	2.167	2.193	2.167	2.181	13901231	30369964.00
2015/04/23	2.185	2.204	2.176	2.178	14360418	31427990.00
2015/04/24	2.161	2.184	2.148	2.156	13231864	28616334.00
2015/04/27	2.160	2.219	2.160	2.204	23857897	52683676.00
2015/04/28	2.212	2.214	2.197	2.207	17639454	38922820.00
2015/04/29	2.208	2.224	2.206	2.216	9253462	20485864.00
2015/04/30	2.216	2.219	2.199	2.202	7603781	16803782.00
2015/05/04	2.202	2.216	2.195	2.201	12823428	28214086.00
2015/05/05	2.202	2.215	2.160	2.161	12404670	27106594.00
2015/05/06	2.160	2.191	2.159	2.163	7307616	15927157.00
2015/05/07	2.163	2.163	2.129	2.129	3912951	8399906.00
2015/05/08	2.141	2.176	2.141	2.169	7654665	16542383.00
2015/05/11	2.184	2.189	2.168	2.189	5475339	11940253.00
2015/05/12	2.189	2.189	2.167	2.168	3778420	8200548.00
2015/05/13	2.162	2.165	2.146	2.149	3419674	7376195.50
2015/05/14	2.141	2.154	2.141	2.143	1847500	3967581.00
2015/05/15	2.135	2.191	2.135	2.187	5273034	11421097.00
2015/05/18	2.180	2.180	2.159	2.164	3039800	6602348.00
2015/05/19	2.168	2.181	2.165	2.173	1922836	4178867.75
2015/05/20	2.179	2.182	2.161	2.165	2389747	5188147.50
2015/05/21	2.131	2.171	2.131	2.164	1931599	4177989.00
2015/05/22	2.165	2.208	2.165	2.199	4696337	10311817.00
2015/05/25	2.240	2.419	2.240	2.357	10398665	24212272.00
2015/05/26	2.358	2.358	2.248	2.250	11050318	25074810.00
2015/05/27	2.260	2.260	2.194	2.204	5290013	11667652.00
2015/05/28	2.205	2.228	2.153	2.161	4947717	10829193.00
2015/05/29	2.161	2.182	2.150	2.171	4142783	8967590.00
2015/06/01	2.200	2.200	2.152	2.193	3719748	8110816.00
2015/06/02	2.185	2.185	2.157	2.165	1996972	4323250.00
2015/06/03	2.165	2.181	2.165	2.180	2642545	5746880.50
2015/06/04	2.178	2.200	2.143	2.186	2918319	6337091.00
2015/06/05	2.180	2.186	2.171	2.178	3019061	6579371.50
2015/06/08	2.178	2.183	2.150	2.174	1900539	4121408.50
2015/06/09	2.165	2.165	2.142	2.156	3322338	7151893.50
2015/06/10	2.143	2.157	2.140	2.145	2864818	6161016.50
2015/06/11	2.145	2.147	2.135	2.137	4036673	8636986.00
2015/06/12	2.147	2.152	2.145	2.147	1286704	2764117.00
2015/06/15	2.147	2.154	2.145	2.145	1551780	3334803.25
2015/06/16	2.145	2.145	2.102	2.112	2658509	5625110.50
2015/06/17	2.112	2.134	2.102	2.131	1961305	4158911.25
2015/06/18	2.123	2.130	2.106	2.107	2158252	4564502.00
2015/06/19	2.103	2.136	2.103	2.110	5639679	11922272.00
2015/06/23	2.112	2.170	2.112	2.170	2360425	5090838.00
2015/06/24	2.170	2.179	2.170	2.178	1554708	3379858.00
2015/06/25	2.180	2.180	2.158	2.165	1076900	2336740.50
2015/06/26	2.150	2.150	2.050	2.098	5434273	11449538.00
2015/06/29	2.112	2.116	2.035	2.059	2583377	5348274.00
2015/06/30	2.035	2.109	2.035	2.106	14387540	30065160.00
2015/07/01	2.097	2.097	2.085	2.085	712100	1489027.63
2015/07/02	2.090	2.105	2.085	2.094	1175080	2460507.25
2015/07/03	2.002	2.100	2.002	2.081	2310364	4816606.50
2015/07/06	2.123	2.200	1.954	2.002	1229672	2466111.25
2015/07/07	1.960	2.000	1.930	1.969	1872736	3666774.25
2015/07/08	1.900	1.900	1.772	1.772	2186177	3932419.25
2015/07/09	1.600	1.918	1.600	1.888	4748581	8782040.00
2015/07/10	1.889	1.989	1.889	1.961	8110700	15816119.00
2015/07/13	1.977	1.978	1.939	1.970	3064516	6015115.50
2015/07/14	1.965	1.979	1.921	1.940	2395636	4711669.50
2015/07/15	1.945	1.985	1.945	1.964	2227670	4386932.00
2015/07/16	1.930	1.999	1.915	1.976	933231	1847923.50
2015/07/17	1.999	2.028	1.981	2.020	662551	1332879.88
2015/07/20	2.039	2.057	2.026	2.037	1041262	2123246.75
2015/07/21	2.026	2.057	2.011	2.041	1190972	2437391.75
2015/07/22	2.021	2.050	2.021	2.036	362700	736253.88
2015/07/23	2.027	2.054	2.024	2.042	2947052	6001812.50
2015/07/24	2.032	2.033	2.023	2.028	308000	624011.31
2015/07/27	2.001	2.001	1.880	1.930	3834400	7558960.00
2015/07/28	1.980	1.985	1.881	1.967	4322304	8467636.00
2015/07/29	1.966	1.990	1.966	1.985	3541386	6991086.00
2015/07/30	1.982	2.000	1.970	1.971	2639023	5237042.00
2015/07/31	1.971	1.985	1.965	1.972	1320982	2608953.25
2015/08/03	1.972	1.979	1.960	1.979	38500	75687.90
2015/08/04	1.972	1.978	1.935	1.977	395500	775727.69
2015/08/05	1.962	1.976	1.962	1.975	230967	453902.22
2015/08/06	1.975	1.976	1.966	1.966	55700	109830.50
2015/08/07	1.900	1.990	1.900	1.987	176196	349613.94
2015/08/10	1.990	2.000	1.935	1.993	234900	467750.00
2015/08/11	2.028	2.028	1.990	2.018	3404999	6838972.50
2015/08/12	2.011	2.025	1.990	1.990	333109	665360.81
2015/08/13	2.012	2.018	1.996	2.014	394098	792471.06
2015/08/14	2.018	2.018	2.006	2.007	116793	234862.20
2015/08/17	2.017	2.017	1.987	2.010	214200	427044.59
2015/08/18	2.010	2.010	1.953	1.956	237000	470748.31
2015/08/19	1.921	1.960	1.921	1.949	413846	799046.25
2015/08/20	1.958	1.958	1.896	1.896	251899	484508.28
2015/08/21	1.881	1.920	1.877	1.878	314431	593422.31
2015/08/24	1.877	1.877	1.691	1.745	1970505	3447977.75
2015/08/25	1.745	1.820	1.670	1.751	1027349	1816069.00
2015/08/26	1.790	1.818	1.743	1.786	234000	419012.41
2015/08/27	1.700	1.840	1.700	1.816	138100	249535.45
2015/08/28	1.840	1.874	1.833	1.851	317400	583451.81
2015/08/31	1.833	1.834	1.782	1.800	145399	262533.41
2015/09/01	1.800	1.807	1.776	1.777	286900	513535.69
2015/09/02	1.739	1.798	1.721	1.745	286071	501881.34
