159902 中 小 板 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2006/09/05	0.880	0.881	0.869	0.872	80632016	80159280.00
2006/09/06	0.873	0.873	0.864	0.867	46335728	45758692.00
2006/09/07	0.867	0.868	0.860	0.862	28993154	28505842.00
2006/09/08	0.860	0.869	0.859	0.866	28401819	27939810.00
2006/09/11	0.865	0.868	0.858	0.866	16937086	16655647.00
2006/09/12	0.866	0.873	0.865	0.871	20858206	20641728.00
2006/09/13	0.871	0.875	0.867	0.867	16922795	16785250.00
2006/09/14	0.866	0.866	0.856	0.859	13540544	13253209.00
2006/09/15	0.859	0.868	0.859	0.867	26805506	26393372.00
2006/09/18	0.868	0.875	0.867	0.874	33552109	33266634.00
2006/09/19	0.872	0.879	0.872	0.877	34784887	34676572.00
2006/09/20	0.876	0.882	0.873	0.878	34564455	34511748.00
2006/09/21	0.878	0.890	0.877	0.888	56811340	57111988.00
2006/09/22	0.888	0.898	0.887	0.894	54764766	55448564.00
2006/09/25	0.891	0.904	0.889	0.893	36171641	36759872.00
2006/09/26	0.897	0.897	0.882	0.882	15554057	15689790.00
2006/09/27	0.882	0.885	0.877	0.880	10598635	10594675.00
2006/09/28	0.881	0.896	0.881	0.892	23642711	23896958.00
2006/09/29	0.892	0.904	0.892	0.901	66789979	68150600.00
2006/10/09	0.902	0.916	0.902	0.915	63761880	65646592.00
2006/10/10	0.917	0.922	0.909	0.916	38248098	39652620.00
2006/10/11	0.917	0.926	0.913	0.926	45881397	47686112.00
2006/10/12	0.927	0.928	0.910	0.910	17930352	18601606.00
2006/10/13	0.910	0.911	0.904	0.907	11556368	11869640.00
2006/10/16	0.908	0.908	0.896	0.899	13522062	13821324.00
2006/10/17	0.898	0.898	0.893	0.893	15702777	15941767.00
2006/10/18	0.892	0.902	0.892	0.900	14412401	14673062.00
2006/10/19	0.900	0.910	0.900	0.908	31833554	32698826.00
2006/10/20	0.907	0.910	0.902	0.902	19289391	19812634.00
2006/10/23	0.902	0.902	0.877	0.880	32803676	33083502.00
2006/10/24	0.881	0.895	0.881	0.895	22844853	23015740.00
