159903 深成ETF 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/02/02	1.200	1.219	1.190	1.191	109165178	131879144.00
2010/02/03	1.191	1.235	1.171	1.232	73648643	88249144.00
2010/02/04	1.222	1.229	1.210	1.214	44427374	54190780.00
2010/02/05	1.181	1.203	1.181	1.193	45513584	54328288.00
2010/02/08	1.189	1.201	1.186	1.196	31662740	37787460.00
2010/02/09	1.196	1.204	1.190	1.197	20425053	24422918.00
2010/02/10	1.203	1.220	1.203	1.219	23307104	28215136.00
2010/02/11	1.218	1.232	1.215	1.224	22883673	27995634.00
2010/02/12	1.240	1.240	1.224	1.230	14729159	18113422.00
2010/02/22	1.227	1.234	1.220	1.221	34167685	41867280.00
2010/02/23	1.215	1.218	1.192	1.205	47424868	56948188.00
2010/02/24	1.197	1.231	1.193	1.231	42406177	51617776.00
2010/02/25	1.231	1.250	1.231	1.249	43758297	54432176.00
2010/02/26	1.246	1.253	1.241	1.244	25397446	31688706.00
2010/03/01	1.244	1.260	1.244	1.257	22780415	28555366.00
2010/03/02	1.254	1.268	1.251	1.257	30389913	38235560.00
2010/03/03	1.254	1.261	1.245	1.261	36223416	45402356.00
2010/03/04	1.260	1.273	1.229	1.232	42094454	52826124.00
2010/03/05	1.232	1.244	1.227	1.233	28872250	35698488.00
2010/03/08	1.240	1.248	1.233	1.242	30027016	37277080.00
2010/03/09	1.241	1.258	1.229	1.252	37281858	46364904.00
2010/03/10	1.247	1.255	1.235	1.238	38348036	47716432.00
2010/03/11	1.238	1.246	1.226	1.238	32848237	40628752.00
2010/03/12	1.235	1.238	1.215	1.219	35849014	43983592.00
2010/03/15	1.219	1.219	1.186	1.192	34377839	41105964.00
2010/03/16	1.191	1.199	1.184	1.197	32784418	39048048.00
2010/03/17	1.199	1.222	1.196	1.221	41969776	50793332.00
2010/03/18	1.224	1.235	1.218	1.223	30764289	37783788.00
2010/03/19	1.220	1.236	1.218	1.236	28617815	35128308.00
2010/03/22	1.238	1.240	1.229	1.235	21110147	26052248.00
2010/03/23	1.232	1.240	1.227	1.227	22190249	27381674.00
2010/03/24	1.226	1.237	1.225	1.226	41031184	50445816.00
2010/03/25	1.227	1.227	1.200	1.207	24840456	30075328.00
2010/03/26	1.206	1.227	1.203	1.223	18635528	22693588.00
2010/03/29	1.230	1.256	1.228	1.255	59149293	73823888.00
2010/03/30	1.255	1.260	1.251	1.258	29862126	37518800.00
2010/03/31	1.259	1.259	1.246	1.248	18840097	23566694.00
2010/04/01	1.248	1.269	1.248	1.266	30388589	38319268.00
2010/04/02	1.269	1.279	1.269	1.276	37037580	47195588.00
2010/04/06	1.281	1.284	1.264	1.269	23652497	30186504.00
2010/04/07	1.267	1.268	1.254	1.260	27502732	34664740.00
2010/04/08	1.256	1.259	1.237	1.245	24058322	30037728.00
2010/04/09	1.243	1.255	1.239	1.255	27636956	34507028.00
2010/04/12	1.257	1.260	1.231	1.238	32930282	40885928.00
2010/04/13	1.236	1.253	1.226	1.247	45292091	56216092.00
2010/04/14	1.248	1.254	1.243	1.253	27978654	34988000.00
2010/04/15	1.249	1.257	1.242	1.249	26677422	33333734.00
2010/04/16	1.250	1.251	1.232	1.237	19609438	24322124.00
2010/04/19	1.227	1.228	1.164	1.166	75478288	89942048.00
2010/04/20	1.162	1.172	1.138	1.151	60982350	70144392.00
2010/04/21	1.147	1.177	1.147	1.175	56470614	65749152.00
2010/04/22	1.170	1.180	1.156	1.166	23875298	27882004.00
2010/04/23	1.168	1.179	1.161	1.167	36844752	43216520.00
2010/04/26	1.170	1.174	1.156	1.159	22600534	26410672.00
2010/04/27	1.159	1.159	1.116	1.135	35559137	40262952.00
2010/04/28	1.120	1.144	1.118	1.133	41570697	47027820.00
2010/04/29	1.137	1.145	1.118	1.119	23879981	27095228.00
2010/04/30	1.118	1.126	1.098	1.113	26879510	29760612.00
2010/05/04	1.097	1.113	1.090	1.094	21026390	23184622.00
2010/05/05	1.089	1.100	1.065	1.099	31524189	34221504.00
2010/05/06	1.094	1.094	1.041	1.055	37337602	39762792.00
2010/05/07	1.035	1.035	1.009	1.015	73106629	74572312.00
