159907 中小300 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/08/10	1.043	1.069	1.043	1.051	104873903	110728200.00
2011/08/11	1.036	1.071	1.026	1.071	94631267	99846576.00
2011/08/12	1.074	1.086	1.074	1.080	32801055	35470748.00
2011/08/15	1.084	1.093	1.079	1.091	33518067	36446396.00
2011/08/16	1.093	1.095	1.081	1.088	10814823	11775449.00
2011/08/17	1.087	1.090	1.078	1.079	17223878	18637522.00
2011/08/18	1.078	1.080	1.057	1.059	12887548	13743344.00
2011/08/19	1.041	1.053	1.040	1.051	5896916	6176906.50
2011/08/22	1.049	1.062	1.040	1.045	5114098	5385289.50
2011/08/23	1.046	1.056	1.043	1.055	1866565	1959776.38
2011/08/24	1.058	1.072	1.056	1.060	5799982	6173462.00
2011/08/25	1.060	1.080	1.059	1.079	10891825	11641563.00
2011/08/26	1.070	1.082	1.070	1.080	6322625	6810411.50
2011/08/29	1.074	1.080	1.067	1.071	8422777	9050103.00
2011/08/30	1.071	1.083	1.061	1.062	5610015	6035905.50
2011/08/31	1.062	1.065	1.045	1.055	12237195	12889400.00
2011/09/01	1.057	1.062	1.045	1.051	5098687	5365690.50
2011/09/02	1.046	1.052	1.030	1.038	7042690	7303289.00
2011/09/05	1.030	1.030	1.016	1.017	7577085	7738994.00
2011/09/06	1.010	1.018	1.002	1.007	3071694	3096364.50
2011/09/07	1.009	1.030	1.008	1.030	8446900	8608157.00
2011/09/08	1.031	1.033	1.020	1.020	1936537	1989805.63
2011/09/09	1.020	1.027	1.008	1.009	1064728	1080399.63
2011/09/13	1.002	1.002	0.991	0.995	1786537	1776415.63
2011/09/14	1.000	1.002	0.983	1.002	2312117	2298352.25
2011/09/15	1.002	1.014	1.002	1.008	1778469	1791173.13
2011/09/16	1.013	1.014	1.006	1.008	13924022	14055381.00
2011/09/19	1.000	1.000	0.986	0.991	819477	813831.38
2011/09/20	0.990	0.995	0.977	0.991	9031965	8902767.00
2011/09/21	0.991	1.019	0.984	1.016	11392838	11419056.00
2011/09/22	1.001	1.016	0.990	0.992	7716058	7781339.00
2011/09/23	0.980	0.984	0.969	0.982	3774893	3684553.00
2011/09/26	0.980	0.984	0.963	0.965	8475761	8270809.50
2011/09/27	0.972	0.972	0.958	0.968	12699695	12274239.00
2011/09/28	0.968	0.975	0.952	0.955	3637001	3502786.00
2011/09/29	0.950	0.950	0.926	0.929	2551704	2385562.00
2011/09/30	0.930	0.934	0.918	0.928	2233859	2065909.63
2011/10/10	0.928	0.930	0.920	0.920	1613454	1491524.50
2011/10/11	0.936	0.945	0.909	0.916	3167575	2946904.25
2011/10/12	0.910	0.950	0.905	0.949	6498368	6095689.50
2011/10/13	0.952	0.966	0.950	0.963	5676410	5447707.50
2011/10/14	0.963	0.963	0.950	0.959	1933261	1845620.13
2011/10/17	0.961	0.970	0.957	0.962	3748222	3614111.75
2011/10/18	0.954	0.958	0.936	0.936	1576990	1492725.13
2011/10/19	0.937	0.942	0.930	0.930	2677352	2505875.25
2011/10/20	0.923	0.926	0.899	0.904	1944142	1767127.00
2011/10/21	0.904	0.906	0.885	0.885	14925448	13300501.00
2011/10/24	0.893	0.902	0.871	0.898	3170746	2814356.25
2011/10/25	0.897	0.929	0.897	0.928	4947874	4535270.50
2011/10/26	0.931	0.943	0.920	0.934	5018745	4690131.00
2011/10/27	0.936	0.944	0.931	0.936	3502432	3291176.25
2011/10/28	0.944	0.956	0.940	0.955	5297068	5020373.50
2011/10/31	0.959	0.962	0.952	0.961	2637002	2525212.50
2011/11/01	0.948	0.965	0.948	0.962	2490575	2390934.75
2011/11/02	0.956	0.978	0.940	0.978	5248866	5048480.50
2011/11/03	0.979	1.004	0.978	0.986	11702053	11635912.00
