159911 民营ETF 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/14	3.075	3.096	3.046	3.079	24968737	76968184.00
2011/10/17	3.072	3.114	3.072	3.090	3192753	9887862.00
2011/10/18	3.056	3.070	3.000	3.001	2003486	6091971.50
2011/10/19	3.002	3.020	2.940	2.965	2023027	6063598.00
2011/10/20	2.932	2.939	2.862	2.890	2934519	8497762.00
2011/10/21	2.886	2.895	2.827	2.842	5711809	16419606.00
2011/10/24	2.842	2.919	2.800	2.916	2406779	6869884.50
2011/10/25	2.901	2.996	2.850	2.990	2459152	7274621.00
2011/10/26	2.954	3.070	2.954	3.024	4604183	13898683.00
2011/10/27	3.014	3.042	3.012	3.024	2177800	6595736.50
2011/10/28	3.025	3.100	3.025	3.098	3575013	10974456.00
2011/10/31	2.901	3.098	2.901	3.088	1139768	3517165.00
2011/11/01	3.052	3.115	3.043	3.100	1793859	5546233.50
2011/11/02	3.039	3.156	3.039	3.156	1456621	4502920.50
2011/11/03	3.156	3.228	3.156	3.183	2714016	8681289.00
2011/11/04	3.184	3.245	3.180	3.191	3014570	9628749.00
2011/11/07	3.153	3.225	3.152	3.173	2411931	7705344.00
2011/11/08	3.186	3.189	3.140	3.144	1131587	3593174.75
2011/11/09	3.150	3.195	3.135	3.195	1948894	6168753.00
2011/11/10	3.175	3.192	3.150	3.165	1513206	4792574.00
2011/11/11	3.155	3.175	3.136	3.140	1895866	5981560.50
2011/11/14	3.156	3.223	3.156	3.222	2017115	6466135.00
2011/11/15	3.248	3.248	3.213	3.216	914041	2945353.50
2011/11/16	3.232	3.233	3.160	3.160	1163281	3726252.75
2011/11/17	3.160	3.189	3.139	3.139	1177192	3717082.75
2011/11/18	3.060	3.125	3.033	3.033	1061230	3272610.25
2011/11/21	3.034	3.080	3.015	3.059	1590277	4841472.50
2011/11/22	3.057	3.057	3.017	3.052	751985	2282349.50
2011/11/23	3.040	3.065	3.039	3.039	240240	732372.75
2011/11/24	3.015	3.048	2.985	3.030	602355	1819294.25
2011/11/25	3.012	3.050	3.000	3.010	456471	1377526.50
2011/11/28	3.010	3.035	2.990	3.000	2172616	6519233.00
2011/11/29	3.025	3.051	3.011	3.051	893596	2712472.50
2011/11/30	3.048	3.048	2.900	2.904	1188312	3511431.00
2011/12/01	2.989	3.050	2.983	2.993	4107394	12343304.00
2011/12/02	2.933	2.978	2.906	2.913	583046	1711002.38
2011/12/05	2.904	2.904	2.840	2.851	715565	2042851.38
2011/12/06	2.833	2.853	2.810	2.842	456080	1287253.13
2011/12/07	2.842	2.885	2.826	2.870	825375	2351873.50
2011/12/08	2.830	2.888	2.820	2.857	449516	1285329.25
2011/12/09	2.835	2.850	2.810	2.827	185966	523558.50
2011/12/12	2.825	2.827	2.787	2.789	483708	1354394.13
2011/12/13	2.730	2.787	2.704	2.715	505527	1373418.50
2011/12/14	2.650	2.730	2.650	2.700	402657	1087935.50
2011/12/15	2.610	2.633	2.601	2.610	380405	993817.81
2011/12/16	2.618	2.677	2.580	2.677	2026444	5279466.00
2011/12/19	2.677	2.681	2.580	2.678	848455	2253486.50
2011/12/20	2.669	2.700	2.660	2.663	617855	1649459.50
2011/12/21	2.707	2.707	2.602	2.624	342943	907873.31
2011/12/22	2.624	2.624	2.500	2.569	1027750	2597084.25
2011/12/23	2.500	2.610	2.500	2.579	611601	1573216.13
2011/12/26	2.561	2.603	2.538	2.553	617555	1591523.00
2011/12/27	2.520	2.559	2.500	2.500	527034	1327349.13
2011/12/28	2.437	2.491	2.437	2.491	301510	738523.25
2011/12/29	2.500	2.500	2.481	2.483	440461	1098377.25
2011/12/30	2.495	2.536	2.495	2.518	435989	1099024.38
2012/01/04	2.545	2.577	2.454	2.491	3203953	7918799.00
2012/01/05	2.458	2.550	2.425	2.428	482987	1182534.88
2012/01/06	2.400	2.429	2.340	2.400	565853	1352109.88
2012/01/09	2.398	2.479	2.380	2.479	898808	2197904.75
2012/01/10	2.475	2.600	2.475	2.591	4340631	11029881.00
2012/01/11	2.568	2.600	2.561	2.600	271268	699548.56
2012/01/12	2.596	2.610	2.570	2.572	668076	1730556.63
2012/01/13	2.572	2.583	2.480	2.520	744898	1892963.75
2012/01/16	2.436	2.472	2.410	2.430	769197	1874078.88
2012/01/17	2.380	2.539	2.360	2.501	2374061	5841433.00
2012/01/18	2.540	2.540	2.430	2.473	546962	1367459.88
2012/01/19	2.467	2.540	2.461	2.476	668382	1657075.25
2012/01/20	2.480	2.540	2.480	2.537	807357	2033313.38
2012/01/30	2.518	2.549	2.510	2.530	280021	704789.44
2012/01/31	2.495	2.530	2.492	2.527	211002	527250.38
2012/02/01	2.520	2.549	2.488	2.491	1619554	4091640.00
2012/02/02	2.480	2.549	2.480	2.549	400120	1012368.94
2012/02/03	2.540	2.589	2.512	2.579	714877	1823165.50
2012/02/06	2.567	2.610	2.567	2.600	1174831	3046217.25
2012/02/07	2.552	2.574	2.534	2.553	635706	1619599.63
2012/02/08	2.553	2.615	2.511	2.614	517591	1345095.38
2012/02/09	2.613	2.652	2.603	2.623	1239517	3254891.00
2012/02/10	2.631	2.679	2.610	2.643	406097	1071590.00
2012/02/13	2.609	2.679	2.609	2.660	920719	2425915.75
2012/02/14	2.644	2.678	2.636	2.650	423404	1129414.00
2012/02/15	2.637	2.713	2.637	2.708	960643	2580182.50
2012/02/16	2.708	2.720	2.681	2.700	944881	2555376.00
2012/02/17	2.700	2.707	2.665	2.690	242646	649307.19
2012/02/20	2.679	2.720	2.679	2.684	181560	491229.75
2012/02/21	2.719	2.720	2.671	2.718	552523	1491936.88
2012/02/22	2.720	2.793	2.720	2.780	724200	1995385.00
2012/02/23	2.850	2.850	2.762	2.789	536794	1503592.25
2012/02/24	2.783	2.839	2.782	2.834	789133	2216264.75
2012/02/27	2.850	2.908	2.830	2.865	1574710	4534784.50
2012/02/28	2.858	2.858	2.806	2.826	963770	2734629.25
2012/02/29	2.805	2.825	2.781	2.800	517834	1449374.75
2012/03/01	2.703	2.826	2.703	2.793	293478	818385.19
2012/03/02	2.802	2.870	2.802	2.870	3330900	9507578.00
2012/03/05	2.870	2.887	2.843	2.874	557059	1601309.63
2012/03/06	2.835	2.890	2.805	2.825	4216708	12043817.00
2012/03/07	2.789	2.880	2.789	2.832	2590088	7416082.00
2012/03/08	2.850	2.878	2.833	2.860	747947	2143394.00
2012/03/09	2.870	2.919	2.870	2.918	1441269	4176797.50
2012/03/12	2.918	2.925	2.902	2.925	525778	1533000.50
2012/03/13	2.921	2.948	2.869	2.947	435189	1276232.63
2012/03/14	2.950	2.988	2.700	2.826	3621445	10635575.00
2012/03/15	2.820	2.856	2.767	2.826	990835	2789957.00
2012/03/16	2.782	2.907	2.782	2.907	2187744	6230166.50
2012/03/19	2.879	2.907	2.861	2.880	832953	2411719.50
2012/03/20	2.880	2.885	2.816	2.822	622642	1780687.25
2012/03/21	2.823	2.856	2.801	2.818	844411	2391718.25
2012/03/22	2.818	2.823	2.782	2.800	556126	1555636.38
2012/03/23	2.790	2.800	2.754	2.770	1143051	3173061.50
2012/03/26	2.760	2.771	2.740	2.743	872226	2403821.00
2012/03/27	2.749	2.776	2.749	2.770	735185	2027305.13
2012/03/28	2.740	2.766	2.637	2.648	1459486	3949674.25
2012/03/29	2.640	2.640	2.580	2.620	577738	1505195.88
2012/03/30	2.670	2.670	2.600	2.618	1505103	3934048.75
2012/04/05	2.620	2.712	2.620	2.680	1826385	4899432.50
2012/04/06	2.685	2.735	2.685	2.715	1614765	4386663.50
2012/04/09	2.715	2.722	2.683	2.690	1175254	3180482.75
2012/04/10	2.684	2.717	2.625	2.703	1384465	3692003.50
2012/04/11	2.694	2.737	2.656	2.720	1255349	3395348.00
2012/04/12	2.727	2.766	2.700	2.764	1065646	2913750.75
2012/04/13	2.792	2.800	2.750	2.783	1206816	3347598.50
2012/04/16	2.732	2.795	2.732	2.784	1343099	3731250.25
2012/04/17	2.785	2.788	2.739	2.739	2033204	5616814.00
2012/04/18	2.753	2.807	2.742	2.801	1963462	5437221.50
2012/04/19	2.803	2.809	2.782	2.799	777361	2171619.00
