159912 深300ETF 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/11/24	0.956	0.973	0.952	0.966	139313226	133460360.00
2011/11/25	0.960	0.975	0.955	0.962	17425190	16800592.00
2011/11/28	0.956	0.967	0.952	0.960	12735490	12223685.00
2011/11/29	0.963	0.975	0.963	0.974	22349333	21618220.00
2011/11/30	0.960	0.972	0.932	0.937	23449920	22079080.00
2011/12/01	0.957	0.978	0.950	0.960	26557385	25636220.00
2011/12/02	0.955	0.955	0.938	0.943	2851339	2697592.00
2011/12/05	0.930	0.940	0.916	0.916	2943368	2714380.50
2011/12/06	0.896	0.923	0.896	0.916	2710377	2477500.00
2011/12/07	0.917	0.924	0.915	0.919	1362791	1253553.25
2011/12/08	0.919	0.930	0.906	0.909	1113195	1021894.13
2011/12/09	0.909	0.921	0.906	0.911	4761270	4340739.50
2011/12/12	0.909	0.911	0.896	0.896	1296442	1174041.38
2011/12/13	0.896	0.896	0.875	0.880	3072767	2712133.25
2011/12/14	0.872	0.881	0.862	0.864	2031836	1766771.63
2011/12/15	0.856	0.859	0.840	0.843	20731845	17615930.00
2011/12/16	0.848	0.864	0.841	0.862	2135447	1814335.38
2011/12/19	0.854	0.867	0.842	0.865	2434845	2075785.88
2011/12/20	0.868	0.875	0.860	0.860	2600115	2254467.00
2011/12/21	0.870	0.872	0.810	0.846	1757346	1519305.00
2011/12/22	0.816	0.846	0.816	0.844	911230	758059.13
2011/12/23	0.837	0.858	0.837	0.847	1235735	1052218.63
2011/12/26	0.844	0.852	0.840	0.840	10251466	8681284.00
2011/12/27	0.836	0.839	0.820	0.820	1435196	1190336.38
2011/12/28	0.818	0.821	0.804	0.820	1506412	1227814.13
2011/12/29	0.802	0.826	0.802	0.824	6877218	5653637.00
2011/12/30	0.829	0.837	0.829	0.835	3987063	3321504.50
2012/01/04	0.834	0.846	0.819	0.819	1632929	1364642.50
2012/01/05	0.808	0.812	0.793	0.795	1816526	1462961.25
2012/01/06	0.804	0.810	0.783	0.800	1656230	1310807.88
2012/01/09	0.797	0.830	0.793	0.830	4808715	3945114.00
2012/01/10	0.828	0.866	0.828	0.860	180219686	154277312.00
2012/01/11	0.860	0.863	0.851	0.857	5951693	5118766.00
2012/01/12	0.852	0.868	0.852	0.858	72728182	62779664.00
2012/01/13	0.858	0.858	0.824	0.835	1678031	1406599.25
2012/01/16	0.821	0.832	0.812	0.816	14119115	11619550.00
2012/01/17	0.812	0.857	0.808	0.855	192931090	163251664.00
2012/01/18	0.855	0.866	0.830	0.834	64572895	55669340.00
2012/01/19	0.834	0.853	0.831	0.847	4077604	3461580.25
2012/01/20	0.850	0.863	0.849	0.863	33752879	28892850.00
2012/01/30	0.863	0.865	0.852	0.852	3984373	3419114.75
2012/01/31	0.854	0.854	0.845	0.852	1346732	1144502.88
2012/02/01	0.852	0.860	0.842	0.843	600005	511010.28
2012/02/02	0.852	0.862	0.845	0.862	37694824	32326490.00
2012/02/03	0.860	0.871	0.856	0.871	63713049	55181180.00
2012/02/06	0.870	0.879	0.868	0.872	6412735	5603999.50
2012/02/07	0.866	0.866	0.852	0.855	984970	846644.00
2012/02/08	0.857	0.886	0.854	0.882	103450049	90389800.00
2012/02/09	0.882	0.893	0.878	0.884	57027357	50449088.00
2012/02/10	0.884	0.906	0.884	0.906	89382651	80055696.00
2012/02/13	0.888	0.901	0.874	0.892	28902845	25796776.00
2012/02/14	0.892	0.894	0.886	0.893	55320240	49305500.00
2012/02/15	0.890	0.909	0.888	0.905	103408489	93084032.00
2012/02/16	0.904	0.912	0.896	0.901	5764220	5231367.00
2012/02/17	0.905	0.910	0.894	0.901	18853961	16999566.00
2012/02/20	0.910	0.914	0.899	0.901	27116036	24733940.00
2012/02/21	0.899	0.911	0.893	0.911	24848964	22409936.00
2012/02/22	0.911	0.930	0.911	0.927	82026298	75608392.00
2012/02/23	0.928	0.937	0.925	0.932	9278665	8679776.00
2012/02/24	0.929	0.949	0.929	0.948	3778082	3552665.75
2012/02/27	0.948	0.967	0.948	0.952	38139382	36511320.00
2012/02/28	0.950	0.955	0.941	0.948	5205890	4937113.50
2012/02/29	0.938	0.951	0.935	0.937	2409945	2266553.25
2012/03/01	0.938	0.945	0.936	0.939	5880623	5553362.50
2012/03/02	0.946	0.960	0.946	0.960	3450273	3295373.50
