159922 500ETF 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/03/15	3.425	3.462	3.310	3.392	166896358	567860160.00
2013/03/18	3.393	3.440	3.382	3.391	78700512	267519312.00
2013/03/19	3.400	3.400	3.350	3.396	33664664	113889528.00
2013/03/20	3.398	3.496	3.393	3.491	54418772	187633568.00
2013/03/21	3.490	3.521	3.475	3.512	48757893	171093216.00
2013/03/22	3.512	3.536	3.500	3.525	42080185	148250352.00
2013/03/25	3.525	3.550	3.518	3.530	34591927	122241880.00
2013/03/26	3.539	3.539	3.472	3.516	37155468	130350448.00
2013/03/27	3.520	3.549	3.500	3.520	26707696	94103456.00
2013/03/28	3.510	3.510	3.310	3.421	19218724	66311652.00
2013/03/29	3.421	3.445	3.412	3.423	17360964	59532172.00
2013/04/01	3.423	3.470	3.423	3.452	12728758	44023936.00
2013/04/02	3.452	3.490	3.411	3.420	7736736	26790968.00
2013/04/03	3.420	3.440	3.352	3.391	7495974	25421826.00
2013/04/08	3.340	3.395	3.211	3.395	18152085	60843508.00
2013/04/09	3.400	3.438	3.395	3.425	6786001	23193758.00
2013/04/10	3.425	3.447	3.406	3.428	2772030	9490196.00
2013/04/11	3.410	3.445	3.390	3.410	4271339	14622329.00
2013/04/12	3.390	3.420	3.374	3.378	4032478	13704761.00
2013/04/15	3.371	3.371	3.310	3.338	1596918	5334419.50
2013/04/16	3.331	3.376	3.218	3.371	2018309	6715743.00
2013/04/17	3.371	3.400	3.333	3.399	9544062	32127532.00
2013/04/18	3.400	3.418	3.380	3.416	3686350	12555440.00
2013/04/19	3.391	3.489	3.390	3.470	4036112	13984327.00
2013/04/22	3.432	3.492	3.432	3.490	3781034	13143962.00
2013/04/23	3.480	3.480	3.390	3.403	2822052	9654370.00
2013/04/24	3.403	3.475	3.395	3.449	4567245	15733493.00
2013/04/25	3.415	3.480	3.415	3.424	5674305	19570468.00
2013/04/26	3.431	3.434	3.349	3.353	7368357	25025338.00
2013/05/02	3.331	3.395	3.331	3.370	1945206	6550260.00
2013/05/03	3.370	3.452	3.370	3.437	6006014	20637930.00
2013/05/06	3.450	3.509	3.446	3.491	6964914	24293412.00
2013/05/07	3.484	3.518	3.483	3.516	8691606	30453808.00
2013/05/08	3.516	3.542	3.514	3.540	8996698	31753206.00
2013/05/09	3.524	3.545	3.505	3.539	5496476	19406664.00
2013/05/10	3.534	3.565	3.522	3.565	11785920	41907784.00
2013/05/13	3.560	3.579	3.530	3.572	15022228	53622068.00
2013/05/14	3.550	3.571	3.518	3.541	4011926	14197134.00
2013/05/15	3.531	3.580	3.531	3.579	9305777	33183966.00
2013/05/16	3.570	3.624	3.559	3.598	24861168	89491192.00
2013/05/17	3.599	3.645	3.590	3.642	21489048	77882104.00
2013/05/20	3.643	3.705	3.601	3.701	28495966	104792808.00
2013/05/21	3.701	3.735	3.681	3.734	29935938	111077024.00
2013/05/22	3.734	3.755	3.708	3.725	21187145	79074776.00
2013/05/23	3.718	3.758	3.678	3.697	13928457	51935668.00
2013/05/24	3.697	3.755	3.697	3.738	11155309	41560356.00
2013/05/27	3.740	3.810	3.740	3.809	17501653	66335200.00
2013/05/28	3.804	3.840	3.771	3.824	7172622	27355604.00
2013/05/29	3.823	3.858	3.804	3.855	4083877	15694506.00
2013/05/30	3.853	3.871	3.810	3.864	3326415	12807187.00
2013/05/31	3.862	3.882	3.843	3.843	2718797	10521508.00
2013/06/03	3.821	3.850	3.801	3.807	3956779	15134775.00
2013/06/04	3.790	3.800	3.700	3.728	4242022	15903348.00
2013/06/05	3.730	3.755	3.721	3.745	1725066	6444137.50
2013/06/06	3.746	3.746	3.685	3.688	2561224	9488996.00
2013/06/07	3.683	3.716	3.594	3.624	1246207	4529215.00
2013/06/13	3.620	3.620	3.470	3.533	3346770	11762527.00
2013/06/14	3.533	3.594	3.533	3.583	1364005	4864246.50
2013/06/17	3.583	3.625	3.571	3.612	3165418	11360386.00
2013/06/18	3.614	3.649	3.570	3.619	908565	3279670.50
2013/06/19	3.618	3.621	3.550	3.621	1518904	5426298.50
2013/06/20	3.501	3.587	3.487	3.487	1433883	5063995.50
2013/06/21	3.490	3.490	3.296	3.463	1289547	4414752.50
2013/06/24	3.425	3.490	3.300	3.303	1678872	5607334.50
2013/06/25	3.299	3.358	3.218	3.340	1524628	5038790.00
2013/06/26	3.330	3.400	3.238	3.300	694376	2284179.00
2013/06/27	3.356	3.363	3.270	3.270	557745	1850303.63
2013/06/28	3.270	3.301	3.221	3.260	1045523	3420984.50
2013/07/01	3.251	3.316	3.220	3.306	3593826	11731401.00
2013/07/02	3.329	3.356	3.270	3.352	1270226	4227831.50
2013/07/03	3.250	3.386	3.250	3.365	752489	2510461.00
2013/07/04	3.360	3.431	3.330	3.400	976391	3324602.75
2013/07/05	3.400	3.430	3.382	3.382	779764	2658466.00
2013/07/08	3.341	3.341	3.250	3.265	806985	2645047.75
2013/07/09	3.284	3.284	3.228	3.275	573275	1872320.63
2013/07/10	3.330	3.368	3.272	3.366	748289	2484251.50
2013/07/11	3.366	3.493	3.366	3.468	1151444	3964005.50
2013/07/12	3.470	3.505	3.361	3.448	544916	1888368.25
2013/07/15	3.479	3.501	3.450	3.490	763322	2658296.50
2013/07/16	3.490	3.544	3.487	3.542	970771	3418495.50
2013/07/17	3.560	3.568	3.495	3.498	1116576	3931969.00
2013/07/18	3.497	3.518	3.463	3.488	829744	2898807.00
2013/07/19	3.488	3.515	3.400	3.400	527323	1833534.50
2013/07/22	3.400	3.470	3.392	3.467	723132	2493622.75
2013/07/23	3.467	3.555	3.467	3.548	1052727	3727168.50
2013/07/24	3.565	3.584	3.521	3.575	938789	3337674.25
2013/07/25	3.600	3.620	3.511	3.519	520926	1848935.88
2013/07/26	3.514	3.521	3.470	3.503	422681	1483417.75
2013/07/29	3.468	3.489	3.444	3.444	445280	1538274.00
2013/07/30	3.440	3.473	3.370	3.430	1299336	4471475.00
2013/07/31	3.466	3.537	3.439	3.442	577641	2001917.25
2013/08/01	3.456	3.528	3.456	3.525	1433249	5023040.50
2013/08/02	3.540	3.570	3.501	3.533	900717	3198514.25
2013/08/05	3.491	3.598	3.491	3.595	998745	3571722.75
2013/08/06	3.560	3.635	3.507	3.618	1511182	5454683.00
2013/08/07	3.618	3.645	3.588	3.592	1152124	4172160.00
2013/08/08	3.592	3.628	3.587	3.602	600277	2165731.50
2013/08/09	3.601	3.640	3.574	3.617	1709198	6181758.50
2013/08/12	3.617	3.680	3.617	3.677	1825450	6676537.50
2013/08/13	3.681	3.694	3.679	3.693	1025798	3783638.50
2013/08/14	3.693	3.710	3.667	3.679	1522032	5615778.00
2013/08/15	3.679	3.689	3.611	3.620	1156259	4233268.50
2013/08/16	3.600	3.685	3.553	3.553	1742097	6341174.00
2013/08/19	3.553	3.616	3.517	3.616	489853	1755122.13
2013/08/20	3.616	3.640	3.589	3.599	434672	1568990.88
2013/08/21	3.563	3.632	3.563	3.618	472654	1708877.00
2013/08/22	3.591	3.660	3.591	3.643	664003	2416385.50
2013/08/23	3.658	3.665	3.576	3.628	944387	3441498.50
2013/08/26	3.635	3.707	3.635	3.707	1100868	4062050.75
2013/08/27	3.636	3.729	3.636	3.708	1739643	6466142.50
2013/08/28	3.708	3.742	3.686	3.710	1883694	7014815.00
2013/08/29	3.713	3.715	3.687	3.711	1487182	5510888.00
2013/08/30	3.671	3.723	3.670	3.705	801741	2963614.75
2013/09/02	3.666	3.708	3.666	3.708	1202580	4443898.00
2013/09/03	3.709	3.740	3.699	3.739	2923005	10871000.00
2013/09/04	3.741	3.765	3.671	3.750	1405695	5273755.00
2013/09/05	3.742	3.780	3.739	3.758	3522692	13236433.00
2013/09/06	3.740	3.795	3.740	3.792	1460723	5525660.50
2013/09/09	3.780	3.838	3.779	3.813	4833945	18495862.00
2013/09/10	3.810	3.849	3.810	3.847	1345045	5166017.50
2013/09/11	3.850	3.860	3.799	3.825	1068647	4097426.00
2013/09/12	3.800	3.848	3.780	3.826	1262711	4836277.50
2013/09/13	3.781	3.839	3.775	3.828	1351365	5174211.50
2013/09/16	3.825	3.850	3.816	3.833	1341525	5155876.50
2013/09/17	3.833	3.833	3.772	3.772	647525	2466247.50
2013/09/18	3.772	3.805	3.751	3.805	406260	1539144.88
2013/09/23	3.800	3.882	3.800	3.880	925968	3574175.75
2013/09/24	3.880	3.898	3.851	3.880	909948	3531424.75
2013/09/25	3.855	3.905	3.855	3.872	510462	1986990.25
2013/09/26	3.852	3.852	3.808	3.813	3409129	13061862.00
2013/09/27	3.810	3.847	3.800	3.819	440453	1679865.88
