159948 创业板EF 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/05/31	2.055	2.165	2.055	2.165	280922090	588566272.00
2016/06/01	2.164	2.184	2.146	2.163	65294745	141833008.00
2016/06/02	2.158	2.185	2.150	2.185	80157449	174174880.00
2016/06/03	2.180	2.235	2.180	2.208	57498938	126904592.00
2016/06/06	2.214	2.219	2.185	2.199	27342834	60211176.00
2016/06/07	2.200	2.204	2.181	2.195	17233370	37774192.00
2016/06/08	2.195	2.205	2.172	2.191	13762907	30098922.00
2016/06/13	2.161	2.165	2.060	2.060	15826425	33756684.00
2016/06/14	2.054	2.072	2.020	2.060	19249331	39569232.00
2016/06/15	2.040	2.146	2.030	2.133	21936876	46530884.00
2016/06/16	2.126	2.139	2.100	2.104	10249601	21785516.00
2016/06/17	2.108	2.156	2.108	2.125	8931887	19097816.00
2016/06/20	2.115	2.133	2.093	2.124	5960169	12567677.00
2016/06/21	2.128	2.160	2.089	2.101	6316465	13464585.00
2016/06/22	2.100	2.153	2.092	2.150	9870171	20978510.00
2016/06/23	2.149	2.158	2.122	2.145	7328359	15725761.00
2016/06/24	2.139	2.164	2.066	2.138	6670714	14214570.00
2016/06/27	2.129	2.201	2.119	2.194	8438288	18317142.00
2016/06/28	2.191	2.226	2.169	2.220	10019112	22141508.00
2016/06/29	2.220	2.244	2.210	2.217	3436893	7647665.50
2016/06/30	2.217	2.238	2.211	2.232	6152832	13719759.00
2016/07/01	2.234	2.245	2.210	2.220	8021602	17888072.00
2016/07/04	2.209	2.259	2.209	2.251	9493725	21231218.00
2016/07/05	2.242	2.263	2.219	2.247	5110963	11502496.00
2016/07/06	2.248	2.251	2.232	2.245	3618393	8118723.00
2016/07/07	2.245	2.250	2.213	2.235	3381611	7539756.50
2016/07/08	2.235	2.259	2.225	2.246	3010274	6755833.00
2016/07/11	2.238	2.256	2.221	2.223	2599899	5834276.00
2016/07/12	2.223	2.252	2.186	2.251	8164912	18148866.00
2016/07/13	2.252	2.306	2.252	2.289	10940152	24961214.00
2016/07/14	2.285	2.299	2.276	2.298	8176370	18734568.00
2016/07/15	2.301	2.305	2.263	2.272	4569143	10408064.00
2016/07/18	2.269	2.272	2.241	2.255	5188678	11696413.00
2016/07/19	2.249	2.280	2.243	2.276	12585254	28437386.00
2016/07/20	2.275	2.293	2.273	2.277	11366824	25966710.00
2016/07/21	2.280	2.294	2.264	2.272	7451171	16986934.00
2016/07/22	2.270	2.277	2.255	2.255	9991823	22610408.00
2016/07/25	2.257	2.268	2.242	2.250	3793768	8552992.00
2016/07/26	2.250	2.283	2.250	2.283	2819665	6410807.50
2016/07/27	2.284	2.288	2.145	2.165	8484791	18689090.00
2016/07/28	2.148	2.177	2.120	2.145	7113646	15298826.00
2016/07/29	2.150	2.152	2.119	2.132	5101811	10890092.00
2016/08/01	2.118	2.137	2.072	2.110	11390133	23828760.00
2016/08/02	2.110	2.122	2.102	2.121	5882731	12438923.00
2016/08/03	2.120	2.122	2.102	2.114	2631624	5563441.00
2016/08/04	2.114	2.138	2.109	2.134	5059158	10740781.00
2016/08/05	2.130	2.136	2.114	2.115	3339079	7093340.50
2016/08/08	2.115	2.137	2.000	2.137	5211731	11053945.00
2016/08/09	2.137	2.159	2.137	2.159	3556161	7646249.00
2016/08/10	2.155	2.170	2.146	2.146	4702456	10142937.00
2016/08/11	2.140	2.146	2.113	2.113	2066288	4390360.50
2016/08/12	2.107	2.130	2.107	2.130	704670	1494714.63
2016/08/15	2.134	2.209	2.120	2.200	7845410	17013122.00
2016/08/16	2.200	2.218	2.191	2.208	6181576	13661258.00
2016/08/17	2.212	2.226	2.203	2.218	6074215	13468557.00
2016/08/18	2.214	2.222	2.202	2.210	7265918	16067429.00
2016/08/19	2.206	2.220	2.204	2.214	4038331	8927616.00
2016/08/22	2.215	2.221	2.177	2.177	5031877	11088746.00
2016/08/23	2.177	2.196	2.169	2.183	5833898	12762057.00
2016/08/24	2.180	2.215	2.180	2.200	4168873	9170771.00
2016/08/25	2.186	2.194	2.163	2.192	4514708	9812208.00
2016/08/26	2.191	2.223	2.191	2.200	4277017	9462275.00
2016/08/29	2.203	2.220	2.196	2.203	2489572	5491873.00
2016/08/30	2.209	2.221	2.205	2.205	1630555	3609939.75
2016/08/31	2.205	2.208	2.187	2.201	2457038	5403502.00
2016/09/01	2.200	2.212	2.193	2.193	2138197	4719875.50
2016/09/02	2.190	2.198	2.170	2.183	770804	1684420.88
2016/09/05	2.205	2.210	2.190	2.195	3243347	7142460.00
2016/09/06	2.196	2.239	2.173	2.233	7749211	17124804.00
2016/09/07	2.233	2.244	2.222	2.223	4246030	9506704.00
2016/09/08	2.223	2.235	2.221	2.233	3280014	7310216.00
